"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"morgan stanley","10K+","September 24, 2026 at 4:50:00 AM UTC+5:30","September 24, 2026 at 3:30:00 PM UTC+5:30","morgan stanley","./explore?q=morgan%20stanley&geo=IN"
"pb fintech share","10K+","September 24, 2026 at 2:30:00 PM UTC+5:30","September 24, 2026 at 7:30:00 PM UTC+5:30","pb fintech share,pb fintech,irdai,pb fintech share price","./explore?q=pb%20fintech%20share&geo=IN"
"paradise movie rating","10K+","September 24, 2026 at 6:40:00 AM UTC+5:30","September 24, 2026 at 4:40:00 PM UTC+5:30","paradise movie rating,paradise movie,the paradise review,paradise nani","./explore?q=paradise%20movie%20rating&geo=IN"
"mushtaq khan","5K+","September 24, 2026 at 8:10:00 PM UTC+5:30",,"mushtaq khan,mustak khan,mustaq khan","./explore?q=mushtaq%20khan&geo=IN"
"न्यूज़ीलैंड क्रिकेट टीम","5K+","September 24, 2026 at 6:00:00 PM UTC+5:30",,"न्यूज़ीलैंड क्रिकेट टीम","./explore?q=%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%9C%E0%A4%BC%E0%A5%80%E0%A4%B2%E0%A5%88%E0%A4%82%E0%A4%A1%20%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A5%87%E0%A4%9F%20%E0%A4%9F%E0%A5%80%E0%A4%AE&geo=IN"
"सुखबीर सिंह संधू","5K+","September 24, 2026 at 4:30:00 PM UTC+5:30",,"सुखबीर सिंह संधू","./explore?q=%E0%A4%B8%E0%A5%81%E0%A4%96%E0%A4%AC%E0%A5%80%E0%A4%B0%20%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9%20%E0%A4%B8%E0%A4%82%E0%A4%A7%E0%A5%82&geo=IN"
"निवेशक","5K+","September 24, 2026 at 4:20:00 PM UTC+5:30",,"निवेशक","./explore?q=%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%87%E0%A4%B6%E0%A4%95&geo=IN"
"keshav maharaj","5K+","September 24, 2026 at 1:50:00 PM UTC+5:30",,"keshav maharaj","./explore?q=keshav%20maharaj&geo=IN"
"పిడుగు","5K+","September 24, 2026 at 3:20:00 PM UTC+5:30","September 24, 2026 at 9:50:00 PM UTC+5:30","పిడుగు","./explore?q=%E0%B0%AA%E0%B0%BF%E0%B0%A1%E0%B1%81%E0%B0%97%E0%B1%81&geo=IN"
"nathan ellis","5K+","September 24, 2026 at 2:30:00 PM UTC+5:30","September 24, 2026 at 10:20:00 PM UTC+5:30","nathan ellis","./explore?q=nathan%20ellis&geo=IN"
"डीज़ल","5K+","September 24, 2026 at 4:40:00 PM UTC+5:30","September 24, 2026 at 9:40:00 PM UTC+5:30","डीज़ल","./explore?q=%E0%A4%A1%E0%A5%80%E0%A4%9C%E0%A4%BC%E0%A4%B2&geo=IN"
"japan vs uruguay","5K+","September 24, 2026 at 5:30:00 PM UTC+5:30","September 24, 2026 at 7:40:00 PM UTC+5:30","japan vs uruguay,uruguay national football team","./explore?q=japan%20vs%20uruguay&geo=IN"
